Rand,inj_diff ,Date Time,Avg_PLT_CO2VentRate_TPH,Avg_CCS1_WHCO2InjPs_psi,Avg_CCS1_WHCO2InjTp_F,Avg_CCS1_ANPs_psi,Avg_CCS1_DH6325Ps_psi,Avg_CCS1_DH6325Tp_F,Avg_VW1_WBTbgPs_psi,Avg_VW1_WBTbgTp_F,Avg_VW1_ANPs_psi,Avg_VW1_Z11D4917Ps_psi,Avg_VW1_Z11D4917Tp_F,Avg_VW1_Z10D5001Ps_psi,Avg_VW1_Z10D5001Tp_F,Avg_VW1_Z09D5653Ps_psi,Avg_VW1_Z09D5653Tp_F,Avg_VW1_Z08D5840Ps_psi,Avg_VW1_Z08D5840Tp_F,Avg_VW1_Z07D6416Ps_psi,Avg_VW1_Z07D6416Tp_F,Avg_VW1_Z06D6632Ps_psi,Avg_VW1_Z06D6632Tp_F,Avg_VW1_Z04D6837Ps_psi,Avg_VW1_Z04D6837Tp_F,Avg_VW1_Z03D6945Ps_psi,Avg_VW1_Z03D6945Tp_F,Avg_VW1_Z02D6982Ps_psi,Avg_VW1_Z02D6982Tp_F,Avg_VW1_Z01D7061Ps_psi,Avg_VW1_Z01D7061Tp_F,Avg_VW1_Z0910D5482Ps_psi,Avg_VW1_Z0910D5482Tp_F
24299,0.24583346,11/22/24 14:00,0,1101.871667,73.63089701,647.3166804,3315.543227,107.5977485,2232.617082,104.1074914,4.892578232,2073.451292,105.290303,2107.319731,101.8276459,2534.005601,113.2856509,2624.02132,117,2904.486812,116.9010277,3013.660958,119.9710893,3111.480493,119.7392619,3236.466241,120.4448654,3254.655542,121.2226629,3232.646012,122.5735016,2398.675568,112.3227435
92270,0.022569402,11/22/24 15:00,0,1107.525764,74.89652271,649.7423635,3316.730375,107.3897291,2232.665544,104.0979064,4.908141979,2073.470099,105.2781829,2107.287221,101.8037964,2534.083525,113.2994499,2624.023106,116.9916667,2904.53834,116.8996778,3013.704364,119.9668592,3111.513387,119.7399219,3237.288373,120.4402004,3255.457987,121.2173075,3232.860868,122.5680417,2398.595296,112.3227284
35713,-0.225,11/22/24 16:00,0,1110.186509,75.21878827,669.5937505,3315.348438,107.4346419,2232.795671,104.1234664,4.862365754,2073.489547,105.2726479,2107.301813,101.8006165,2534.090765,113.2966901,2624.024778,117,2904.566994,116.9003528,3013.702358,119.9661392,3111.570862,119.7392769,3238.176355,120.44677,3256.311294,121.2251527,3233.048454,122.5727216,2398.549516,112.3242135
65409,-0.10491887,11/22/24 17:00,0,1113.432534,75.48206663,681.7107139,3315.416543,107.558779,2232.675631,104.1060863,5.346864416,2073.472164,105.2864946,2107.305465,101.8255816,2534.032984,113.2887528,2624.05393,116.9915966,2904.592101,116.892854,3013.732442,119.9641041,3111.596419,119.7332487,3239.018612,120.4488497,3257.156102,121.2170892,3233.244225,122.5660295,2398.479285,112.327843
60433,-25.60515028,11/22/24 18:00,0,993.2401428,69.98014075,674.0425644,3210.78596,108.0835533,2232.752026,104.1160114,5.436400906,2073.502655,105.2671728,2107.329797,101.8030014,2534.037809,113.2904806,2624.0584,117,2904.581083,116.8949528,3013.710771,119.9640391,3111.590594,119.7353172,3239.774646,120.4344248,3258.005058,121.2242378,3233.447561,122.5618019,2398.433014,112.3168783
54983,-2.76388882,11/22/24 19:00,0,913.2074468,59.99356912,603.3674042,3156.746289,108.950989,2232.807872,104.1298564,5.782470429,2073.512551,105.2562377,2107.304563,101.7998215,2534.018581,113.2870308,2624.056055,117,2904.563934,116.8929277,3013.764634,119.961924,3111.617678,119.7326625,3239.268785,120.44401,3258.309528,121.2194977,3233.606728,122.5563421,2398.383826,112.3043678
94728,0.368054867,11/22/24 20:00,0,878.4283015,58.70853443,581.7571335,3147.304972,109.0876431,2232.731047,104.1117514,6.106567132,2073.488177,105.2737279,2107.273364,101.8141312,2534.004704,113.2794413,2624.035402,117,2904.548102,116.8969776,3013.751143,119.9661542,3111.621598,119.7346423,3237.520693,120.4544204,3257.153278,121.2314528,3233.676971,122.5702916,2398.343679,112.3058529
30979,-0.042708095,11/22/24 21:00,0,861.55009,62.70682443,540.1943202,3131.202472,109.263298,2232.765169,104.1287914,5.57647688,2073.466626,105.287963,2107.285321,101.8085663,2534.028186,113.2939303,2624.069417,117,2904.542114,116.9017026,3013.738947,119.9661691,3111.558909,119.7385871,3235.696519,120.4450155,3255.38088,121.2270727,3233.771466,122.553687,2398.277869,112.3139382
77528,0.021875318,11/22/24 22:00,0,854.6895198,63.29129731,564.783536,3124.581519,109.273853,2232.713542,104.1149464,5.427245684,2073.456704,105.2989131,2107.3013,101.8077713,2533.987791,113.2649673,2623.998124,116.9916667,2904.516583,116.8983278,3013.699095,119.9732044,3111.604757,119.7313576,3233.948596,120.4443406,3253.555955,121.2290983,3233.685793,122.5787814,2398.240273,112.3124681
47761,0.006760942,11/22/24 23:00,0,849.5610228,64.27121164,632.4895702,3119.00104,109.1674178,2232.732272,104.1136039,5.274853041,2073.458209,105.2865703,2107.320411,101.8039367,2533.999571,113.2519082,2623.999692,116.9663866,2904.506159,116.9051058,3013.683928,119.9654959,3111.575417,119.7372265,3232.284929,120.443269,3251.72056,121.2317922,3233.68815,122.5674513,2398.183604,112.3041852
34532,-0.128635863,11/23/24 0:00,0,842.6315201,63.1125878,647.1123001,3113.119975,109.0213476,2232.672713,104.1170764,5.318298368,2073.458984,105.289133,2107.313458,101.8045914,2533.97454,113.249188,2623.97703,117,2904.475269,116.9023776,3013.699493,119.9682842,3111.596387,119.7339824,3230.834625,120.443741,3250.025427,121.2253274,3233.622868,122.5649218,2398.118276,112.3058679
14268,0.142708731,11/23/24 1:00,0,833.6413467,61.9055555,621.2761826,3108.887565,108.8216574,2232.564697,104.1309214,5.255127231,2073.458183,105.2341428,2107.360616,101.8634201,2533.976337,113.2463535,2624.05415,116.9833333,2904.533844,116.8996778,3013.743111,119.9598239,3111.609548,119.7386169,3229.645915,120.4100209,3248.644843,121.2239168,3233.603705,122.5922211,2398.07373,112.2683664
91794,0.021527274,11/23/24 2:00,0,824.0158071,59.34098097,587.5560689,3107.264736,108.6028758,2232.628906,104.1149464,5.158996574,2073.463082,105.285878,2107.315694,101.8109512,2534.020064,113.2546479,2624.034662,117,2904.476367,116.9023777,3013.653217,119.9711042,3111.622274,119.7320026,3228.245276,120.4512115,3247.008838,121.2226574,3233.526678,122.5657018,2397.998627,112.2901324
89595,0.007986244,11/23/24 3:00,0,815.8943532,58.80411507,567.312443,3105.734243,108.3491799,2232.613916,104.1138814,5.028075862,2073.500128,105.2671878,2107.316874,101.8022064,2534.04224,113.2546479,2624.074632,117,2904.479063,116.9010276,3013.657884,119.9739243,3111.631567,119.7346423,3227.144973,120.4460965,3245.72417,121.2225226,3233.421281,122.5633619,2397.94754,112.2741868
40316,0.0000000795,11/23/24 4:00,0,808.130393,57.50296901,580.8900848,3103.951066,108.1636368,2232.574976,104.1192064,4.912719683,2073.512681,105.2551577,2107.313399,101.8077713,2534.046248,113.2566879,2624.085272,117,2904.465515,116.8983277,3013.650146,119.9774345,3111.638981,119.7313576,3226.136129,120.4519019,3244.638924,121.2296925,3233.367151,122.5719416,2397.870766,112.2826471
61275,0.087499841,11/23/24 5:00,0,800.4457713,57.18656235,542.6860657,3102.419255,107.9291042,2232.593009,104.1042964,4.827575934,2073.49376,105.2682978,2107.342316,101.819696,2534.063025,113.2560129,2624.072697,117,2904.475975,116.8902277,3013.607391,119.9760244,3111.641697,119.7339973,3225.232298,120.4409519,3243.656384,121.2360676,3233.318184,122.558682,2397.831964,112.2671364
66683,-0.126041587,11/23/24 6:00,0,793.6647135,56.54605916,509.7194598,3101.001786,107.7049243,2232.550065,104.1287914,4.769897854,2073.521082,105.2464577,2107.277519,101.8069763,2534.019147,113.2587727,2624.081382,117,2904.434436,116.8983277,3013.598002,119.9668592,3111.789264,119.7227783,3224.487048,120.446307,3242.712909,121.2253727,3233.371965,122.5742816,2397.770483,112.2698815
47675,0.068749841,11/23/24 7:00,0,785.2603368,55.63016551,478.5984477,3098.730902,107.518481,2232.520223,104.1213364,4.712219167,2073.504472,105.2617278,2107.255365,101.8022064,2533.999202,113.2484234,2624.066463,117,2904.38561,116.9010277,3013.542108,119.957664,3111.782495,119.7234383,3223.762823,120.447747,3241.857874,121.2147682,3233.332357,122.5664818,2397.73196,112.2904473
93025,-0.016319895,11/23/24 8:00,0,777.2630076,54.54654703,442.9233271,3099.049414,107.254638,2232.552035,104.1117514,4.681091007,2073.4867,105.2759479,2107.257452,101.8030014,2534.012384,113.2491133,2624.050525,117,2904.371338,116.9003528,3013.576931,119.9667994,3111.776298,119.726078,3223.052268,120.440697,3241.144814,121.2283129,3233.24834,122.5696017,2397.678646,112.3058979
42765,-3.155555344,11/23/24 9:00,0.016666667,768.2232178,54.10086921,411.1891777,3090.29363,107.0902201,2232.572078,104.0947114,4.619750599,2073.468986,105.2771479,2107.267183,101.8085663,2534.005697,113.2491432,2624.088393,117,2904.3883,116.9030525,3013.585799,119.9667994,3111.766567,119.7207985,3222.442867,120.4486923,3240.477065,121.221953,3233.210518,122.5844213,2397.592385,112.2945576
98108,-11.83819426,11/23/24 10:00,0.066666667,738.1352509,44.3248676,458.546803,3037.979002,108.5633958,2232.5604,104.1117514,4.541015418,2073.448694,105.291383,2107.262842,101.8252609,2533.988957,113.2443584,2624.083118,117,2904.403682,116.9003527,3013.581651,119.9696793,3111.799768,119.7247581,3221.716758,120.4455723,3239.796788,121.2314931,3233.147664,122.5914411,2397.561578,112.2997028
83489,0,11/23/24 11:00,0.083333333,736.8544922,37.77335364,528.978363,3022.108421,109.8209965,2232.511507,104.1128164,4.477844171,2073.428178,105.3077332,2107.281163,101.8157211,2533.984993,113.2471331,2624.078286,117,2904.374939,116.8963026,3013.588729,119.9682692,3111.824194,119.7240982,3220.115729,120.4522622,3238.709029,121.2192684,3233.11095,122.5805214,2397.463704,112.3156629
10709,0,11/23/24 12:00,0.05,738.368571,35.3669823,580.6774485,3014.86864,110.6638256,2232.470744,104.0947114,4.451293941,2073.472957,105.2749429,2107.294615,101.8093613,2533.985895,113.2532979,2624.096956,117,2904.419277,116.9003528,3013.563729,119.9738944,3111.821788,119.7247581,3218.191868,120.4562525,3236.96766,121.2332936,3233.064632,122.5836413,2397.454924,112.3077429
63547,0.06875,11/23/24 13:00,0.075,740.8307988,35.63541438,622.0235057,3010.345841,111.2882013,2232.550521,104.1170764,4.452209485,2073.506171,105.2573928,2107.289119,101.822876,2533.974473,113.2497883,2624.077559,117,2904.377171,116.8929277,3013.523824,119.9703843,3111.834245,119.7234383,3216.274967,120.4567326,3234.98736,121.2350489,3232.990055,122.5781815,2397.386863,112.332943
36915,8.459027672,11/23/24 14:00,0.016666667,744.5638275,39.44986728,656.7283361,3007.82337,111.7727633,2232.594849,104.1074914,4.45770251,2073.52818,105.2507177,2107.293081,101.822081,2533.99928,113.2532232,2624.098187,117,2904.350195,116.8902277,3013.546849,119.9675493,3111.885948,119.7240833,3214.493054,120.455323,3233.017535,121.2327087,3232.912622,122.5922211,2397.335547,112.3351032
32001,5.856944736,11/23/24 15:00,0,776.9403295,47.61747046,608.8112643,3094.338328,109.9225009,2232.672437,104.1032314,4.747009516,2073.540717,105.2386726,2107.285268,101.820491,2534.03158,113.2628825,2624.112618,117,2904.364036,116.8855026,3013.520628,119.9590741,3111.898684,119.7214435,3212.985457,120.4598532,3231.219916,121.231794,3232.846733,122.5906611,2397.271692,112.3315034
93336,-0.293750477,11/23/24 16:00,0,783.0115641,64.14273926,663.5491608,3082.739919,108.6254519,2232.67242,104.1032314,5.194702264,2073.549056,105.2430526,2107.300435,101.8069763,2534.033988,113.2518582,2624.122927,117,2904.367828,116.8841526,3013.500279,119.9640242,3111.941311,119.7326476,3212.800313,120.465928,3230.160109,121.2201996,3232.764734,122.5852013,2397.235205,112.3300635
65848,-0.105555582,11/23/24 17:00,0,803.2108536,66.11698163,726.8770716,3079.975948,108.2394126,2232.633838,104.1021664,5.280761909,2073.498319,105.2725878,2107.306224,101.8252609,2534.087915,113.2690921,2624.145044,117,2904.370268,116.8868526,3013.545331,119.9689892,3111.975775,119.741182,3213.026398,120.4584884,3230.092733,121.2249695,3232.736808,122.5852013,2397.161196,112.3250235
71484,-0.140528527,11/23/24 18:00,0,823.0597437,68.11624139,617.3093703,3079.326867,107.7956233,2232.670962,104.1028644,5.085592979,2073.515352,105.2599784,2107.323384,101.8263833,2534.08931,113.2664888,2624.149997,117,2904.376883,116.8826437,3013.512199,119.9719396,3112.016173,119.7431406,3213.113954,120.458473,3230.19671,121.2064377,3232.704658,122.5919851,2397.123757,112.3220951
93761,-0.15808216,11/23/24 19:00,0,823.797379,68.21463826,633.3055066,3077.474343,107.5146465,2232.686955,104.0957764,5.313720588,2073.504041,105.2660178,2107.307367,101.8165161,2534.126713,113.269107,2624.127187,117,2904.346456,116.8747025,3013.504047,119.9626291,3112.020748,119.7425318,3213.161167,120.4679078,3230.293884,121.201915,3232.720626,122.5836413,2397.049605,112.3207033
55186,0.472569497,11/23/24 20:00,0,833.3633494,69.15799796,652.2072744,3078.895148,107.2055244,2232.6935,104.1021664,5.498657008,2073.490409,105.2759629,2107.313505,101.8133362,2534.103084,113.2656423,2624.141502,117,2904.368785,116.8747025,3013.463499,119.9647591,3112.052391,119.7438666,3213.1322,120.4605135,3230.277134,121.2106598,3232.675832,122.5859812,2396.986786,112.3106231
77258,0.524999762,11/23/24 21:00,0,845.1384476,70.31522439,692.5768641,3083.812339,106.8429007,2232.799202,104.1106864,5.557250766,2073.46684,105.285833,2107.316166,101.8157211,2534.050033,113.2546031,2624.133559,117,2904.355377,116.8679523,3013.420705,119.9668592,3112.090184,119.7379122,3213.069934,120.4631833,3230.256069,121.2146347,3232.609804,122.6039207,2396.92926,112.3171034
16404,-0.032291508,11/23/24 22:00,0,847.5808105,70.65030772,710.2915934,3082.812923,106.7649443,2232.68623,104.1234664,5.553588649,2073.512872,105.2529827,2107.357554,101.8149261,2534.047668,113.255308,2624.13088,117,2904.346037,116.8659273,3013.460215,119.9718093,3112.117072,119.7405071,3213.102574,120.4672028,3230.254757,121.2170197,3232.601333,122.6039207,2396.867857,112.3199834
44454,0.059027592,11/23/24 23:00,0,847.282959,70.6440829,714.9901871,3083.010763,106.7835608,2232.750773,104.1053614,5.432738801,2073.515173,105.2551577,2107.324082,101.822876,2534.015511,113.2498631,2624.093512,117,2904.337518,116.8747025,3013.407202,119.9710893,3112.121515,119.7450371,3213.113116,120.4712076,3230.312608,121.2186096,3232.607768,122.5984609,2396.864408,112.3207035
20568,0.031597328,11/24/24 0:00,0,843.92226,69.7124396,707.7998418,3082.600047,106.9116077,2232.590568,104.1032314,5.429076719,2073.448448,105.293513,2107.317499,101.821286,2534.017043,113.2532232,2624.065112,117,2904.334698,116.8564772,3013.441069,119.9619091,3112.167344,119.7513377,3213.084196,120.4725126,3230.326082,121.2114548,3232.594059,122.5969009,2396.781219,112.3135033
66467,-0.034722487,11/24/24 1:00,0,839.0920375,67.40457891,687.8307795,3083.619926,107.0606244,2232.647697,104.0872564,5.63415521,2073.441842,105.2968281,2107.319114,101.8379807,2534.014891,113.2477633,2624.084601,117,2904.318591,116.8713274,3013.419784,119.9626141,3112.208474,119.7588237,3213.086794,120.4604833,3230.320866,121.2185946,3232.567464,122.5898811,2396.745789,112.305583
52148,-0.060069338,11/24/24 2:00,0,830.1118164,66.30081895,661.1028269,3083.5479,107.2182173,2232.69043,104.0829964,5.279846088,2073.446063,105.292448,2107.327867,101.8284409,2534.056732,113.2594327,2624.101345,117,2904.334922,116.8591772,3013.431335,119.9647441,3112.25956,119.7662948,3213.045205,120.466528,3230.333337,121.2194046,3232.540883,122.5898811,2396.667792,112.3163834
67608,0.098263836,11/24/24 3:00,0,826.726237,66.09464245,639.5833878,3083.888892,107.3472178,2232.596029,104.0883214,4.873352106,2073.437034,105.2946531,2107.306696,101.8300308,2534.057021,113.2580827,2624.125415,117,2904.342908,116.8618773,3013.419885,119.9767444,3112.281309,119.7675101,3213.035834,120.4711625,3230.344958,121.2217896,3232.541302,122.596121,2396.615045,112.2969427
52563,-0.034027672,11/24/24 4:00,0,829.6848958,67.63748913,639.2654841,3084.108358,107.4440118,2232.605607,104.0989714,4.819336224,2073.466982,105.296678,2107.326628,101.8284409,2534.054938,113.267742,2624.141756,117,2904.359184,116.8733524,3013.456238,119.9739243,3112.291294,119.7719952,3213.018168,120.4718526,3230.321838,121.2209946,3232.514317,122.5968859,2396.541536,112.2911825
19549,-0.083333651,11/24/24 5:00,0,836.7439606,69.80728881,645.5639821,3085.031716,107.4930458,2232.592977,104.0893864,4.78729287,2073.472135,105.295568,2107.290139,101.8292358,2534.10107,113.269782,2624.122135,117,2904.340066,116.8605272,3013.428733,119.9732193,3112.336373,119.7771254,3212.992924,120.4712226,3230.308624,121.2194046,3232.500618,122.595341,2396.500462,112.2911825
56205,-0.015277433,11/24/24 6:00,0,843.1130936,70.46646697,658.788623,3082.917403,107.5578461,2232.62797,104.1032314,4.779968695,2073.404024,105.3099532,2107.267627,101.8252609,2534.092855,113.2718519,2624.128607,117,2904.316361,116.8645773,3013.465273,119.9661542,3112.375631,119.7652165,3213.017383,120.4692128,3230.271881,121.2241596,3232.390525,122.5789614,2396.507741,112.2947826
14998,-0.014583254,11/24/24 7:00,0,848.4296875,70.98099524,665.8963918,3082.844358,107.5758018,2232.681478,104.0904514,4.908142396,2073.426703,105.3098632,2107.297196,101.8149261,2534.074784,113.2580678,2624.183445,117,2904.31463,116.8632273,3013.478864,119.9760394,3112.370253,119.7646014,3212.99645,120.4692128,3230.203257,121.2249545,3232.34612,122.5898811,2396.469346,112.2991028
85287,-0.06284701,11/24/24 8:00,0,852.1677246,71.30912075,681.3774307,3082.411643,107.6127565,2232.63453,104.0947114,5.269775462,2073.401672,105.3208132,2107.277232,101.8165161,2534.058315,113.2573629,2624.147742,117,2904.32263,116.8693024,3013.465798,119.9788595,3112.377865,119.7698212,3212.937305,120.4760373,3230.139907,121.2289444,3232.353377,122.5828613,2396.39035,112.306303
98934,-0.074305503,11/24/24 9:00,0,854.7788808,71.59330069,700.4752945,3082.294647,107.6630685,2232.636727,104.0968414,4.994201434,2073.370384,105.3068182,2107.26275,101.8165161,2534.051868,113.2512131,2624.153424,117,2904.331748,116.8720024,3013.44515,119.9739243,3112.362998,119.7625618,3212.8817,120.478032,3230.084605,121.2289144,3232.331492,122.5852013,2396.319812,112.3171183
60041,-0.007985846,11/24/24 10:00,0,859.8374095,72.03055484,721.2267741,3081.61191,107.7421136,2232.652873,104.0936464,4.898986797,2073.418925,105.3121432,2107.25789,101.8077713,2534.054665,113.2587577,2624.119196,117,2904.335555,116.8672773,3013.432733,119.9746293,3112.364136,119.771801,3212.826115,120.4888763,3229.981797,121.2360692,3232.331099,122.5766215,2396.247512,112.3192933
74293,-0.043056218,11/24/24 11:00,0,863.0244649,72.26712799,742.5851873,3080.878465,107.8578426,2232.661784,104.1064264,4.892578121,2073.413363,105.3174832,2107.275077,101.8189011,2534.038611,113.2559979,2624.12396,117,2904.325399,116.8909026,3013.421635,119.9746144,3112.385455,119.7751007,3212.754812,120.4942759,3229.917426,121.2353043,3232.307583,122.5774015,2396.194014,112.3214684
64531,0.058680662,11/24/24 12:00,0,867.5616862,72.72928721,761.0885096,3081.064435,107.9626419,2232.66359,104.1000364,4.904479949,2073.426367,105.3131782,2107.279877,101.8189011,2534.069377,113.2573629,2624.138434,117,2904.323258,116.8807775,3013.452456,119.9718093,3112.422864,119.7665215,3212.702348,120.4996755,3229.87594,121.2376892,3232.306006,122.5875412,2396.146698,112.3259528
13831,-0.157985687,11/24/24 13:00,0,871.2202962,73.05704498,781.9514659,3080.985657,108.0861167,2232.615299,104.0989714,4.904479945,2073.375252,105.3208282,2107.255048,101.823671,2534.021806,113.2566879,2624.174109,117,2904.329924,116.8740274,3013.446434,119.9696643,3112.450236,119.7678413,3212.63681,120.4841515,3229.817521,121.2408691,3232.263989,122.593781,2396.137518,112.3353879
60640,-0.010416985,11/24/24 14:00,0,872.8237305,73.20975329,737.300292,3080.161031,108.2113595,2232.656437,104.0957764,4.898071265,2073.38619,105.3121132,2107.258238,101.8483154,2534.032125,113.2553378,2624.175525,117,2904.327028,116.8861776,3013.445323,119.9661691,3112.456242,119.7658615,3212.527557,120.4747022,3229.779917,121.2448441,3232.276896,122.5875412,2396.087573,112.3566421
17696,-0.048957936,11/24/24 15:00,0,878.249588,73.68729445,724.0797918,3080.356087,108.3430393,2232.744849,104.0968414,4.943847529,2073.411495,105.3110032,2107.254038,101.8173111,2534.018282,113.2525482,2624.179873,117,2904.329913,116.8774025,3013.464435,119.9725143,3112.485484,119.7592621,3212.459727,120.4612183,3229.714986,121.247229,3232.255391,122.5750615,2396.041081,112.3558623
77153,-0.106945054,11/24/24 16:00,0,884.2910441,74.21573639,746.9968363,3080.238733,108.4856807,2232.6538,104.1202714,4.797363245,2073.420418,105.3098932,2107.237303,101.8109512,2534.057644,113.255293,2624.161178,117,2904.338212,116.8760525,3013.462258,119.9795645,3112.487561,119.759922,3212.372571,120.4512882,3229.634182,121.2504089,3232.269177,122.5813014,2395.983103,112.3565674
70344,-0.030207777,11/24/24 17:00,0,891.6628418,74.87858073,719.0343684,3078.960557,108.6350399,2232.725806,104.1106864,4.855957158,2073.439931,105.3032931,2107.235915,101.8085663,2534.061983,113.2608276,2624.185744,117,2904.341992,116.8679523,3013.46378,119.9746293,3112.537319,119.7645715,3212.307296,120.4513034,3229.580341,121.2559738,3232.255792,122.5836413,2395.945553,112.3550975
26785,-4.239583651,11/24/24 18:00,0.033333333,898.5233526,74.81266117,703.8815847,3072.900063,108.8003397,2232.704395,104.0979064,4.981384071,2073.484039,105.2770579,2107.230442,101.8101563,2534.060284,113.2635874,2624.196501,117,2904.307284,116.8618773,3013.477999,119.9788595,3112.553593,119.7566223,3212.25186,120.4532536,3229.498551,121.2631287,3232.259072,122.5867612,2395.925411,112.3484828
99717,10.9475691,11/24/24 19:00,0,912.3982895,75.31400344,704.688765,3086.54684,109.0311787,2232.787109,104.1245314,5.144348065,2073.457078,105.3076131,2107.257654,101.8053864,2534.059119,113.2587428,2624.204175,117,2904.318355,116.8753775,3013.445844,119.9788595,3112.588871,119.7520027,3212.088924,120.4592234,3229.4546,121.2766434,3232.22429,122.593001,2395.860211,112.3543625
